,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
air,120468245.80870269,231487479.00338677,406123030.1749731,451676128.9537794,418820711.8901526,436397892.8401662,466714990.16073555,445260888.7632747,467007498.04211736,491351023.3297623,464830301.2374187,452312350.6781199,430564328.9408345,427032005.1126241,417035775.49236995,427140829.07181287,423620099.30718637,377924502.4099359,361562549.07171196,330663263.1657155
water,11359788.900500005,17072337.942749996,18335340.742000002,16714726.724999996,14957562.573086003,15924037.521800004,17189825.481330004,14227078.4081,11425868.4413,8238861.2110187905,7815983.376796208,7569691.967029997,11441274.9881233,11816631.807716759,9397543.119259993,9892640.807509996,10236473.473554999,9769742.901765997,11677966.430050807,10577064.489737503
land,536255.0,721489.7979999995,516731.31347419164,477366.40608822025,590243.3962899649,637306.5287706256,512196.9028711321,2772394.537358623,529988.8455917429,465784.18761542655,502362.3058966663,605205.1729506833,628993.5173369095,566522.3920513503,789620.1937878004,731942.221535083,1173435.344063273,1065630.1986952554,968310.8891989719,1546467.3041265018
